timestamp,value
1,2.6333333333
2,2.6538
3,2.7416
4,2.7362
5,2.6782
6,2.651
7,2.6098
8,2.7236
9,2.8972
10,2.841
11,2.7928
12,2.691
13,2.7352
14,2.5586
15,2.6125
16,2.7086
17,2.8642
18,2.892
19,2.9478
20,2.9762
21,2.8892
22,2.944
23,2.971
24,2.9488
25,2.9202
26,2.938
27,2.9442
28,2.9716
29,2.9284
30,2.917
31,2.9025
32,2.903
33,2.88475
34,2.8936
35,2.83525
36,2.828
37,2.8578
38,2.89
39,2.8266
40,2.827
41,2.8628
42,2.8522
43,2.8884
44,2.8768
45,2.9242
46,2.9464
47,2.96725
48,2.9368
49,2.946
50,2.968
51,2.9482
52,2.918
53,2.9058
54,2.90625
55,2.869
56,2.8746
57,2.8596
58,2.7832
59,2.8125
60,2.9134
61,2.9482
62,2.9464
63,2.9456
64,2.9578
65,2.8924
66,2.961
67,2.92
68,2.9125
69,2.9174
70,2.8878
71,2.878
72,2.8124
73,2.7762
74,2.8226
75,2.8774
76,2.9386
77,2.8876
78,2.827
79,2.79925
80,2.8426
81,2.8344
82,2.816
83,2.829
84,2.83375
85,2.81625
86,2.8098
87,2.861
88,2.874
89,2.868
90,2.8668
